text,label
Tom Hanks caught doing controversial statements on camera,0
China to ban meditation starting next month,0
Study published in The Lancet examines effects of social media,1
Governor speaks at conference about artificial intelligence,1
President speaks at conference about climate change,1
Local council approves new school project for Sydney,1
Brad Pitt DEAD at 38 - family confirms tragic news,0
New study proves sugar causes cancer - doctors shocked!,0
Local council approves new school project for New York,1
New study proves processed food causes cancer - doctors shocked!,0
Elon Musk DEAD at 52 - family confirms tragic news,0
Researchers at Stanford University make progress in medical research,1
Weather forecast: Thunderstorms expected this weekend in California,1
Local council approves new school project for London,1
Cowboys wins against Giants in close match,1
Weather forecast: Clear skies expected this weekend in the Pacific Northwest,1
Researchers at Cambridge make progress in biology research,1
United Nations announces new policy on environment,1
Yankees wins against Red Sox in close match,1
You won't believe what Jennifer Lawrence said about healthcare!,0
Weather forecast: Fog expected this weekend in the Pacific Northwest,1
Weather forecast: Clear skies expected this weekend in the Pacific Northwest,1
You won't believe what Brad Pitt said about healthcare!,0
ALERT: Volcanic eruption heading straight for Tokyo!,0
Local council approves new school project for London,1
Miracle cure: salt can make you lose weight in just 14 days!,0
CEO speaks at conference about artificial intelligence,1
Elon Musk caught doing illegal activities on camera,0
Government hiding truth about vaccine ingredients,0
Researchers at Cambridge make progress in computer science research,1
Local council approves new school project for Los Angeles,1
Senator speaks at conference about climate change,1
"Google reports quarterly earnings, stock down by 8%",1
Local council approves new park project for London,1
European Union announces new policy on housing,1
Governor speaks at conference about climate change,1
Local council approves new bridge project for New York,1
New cloud feature released by Amazon,1
Miracle cure: processed food can make you lose weight in just 21 days!,0
Elon Musk DEAD at 34 - family confirms tragic news,0
Mayor speaks at conference about social media,1
SHOCKING: European Union secretly planning to ban protests!,0
ALERT: Tsunami wave heading straight for Tokyo!,0
Community fundraiser raises $10000 for disaster relief,1
SHOCKING: US Government secretly planning to raise taxes!,0
Local council approves new park project for Tokyo,1
Community fundraiser raises $10000 for disaster relief,1
ALERT: Hurricane Category 5 heading straight for Los Angeles!,0
Yankees wins against Celtics in close match,1
Government hiding truth about 5G towers,0
Patriots wins against Rockets in close match,1
Government hiding truth about vaccine ingredients,0
Tom Hanks DEAD at 39 - family confirms tragic news,0
European Union announces new policy on environment,1
Researchers at Oxford make progress in environmental research,1
BREAKING: Scientists discover water can cure cancer!,0
Community fundraiser raises $100000 for children's charity,1
Local council approves new library project for New York,1
China to ban chocolate starting next month,0
You won't believe what Tom Hanks said about climate change!,0
BREAKING: Scientists discover exercise can cure arthritis!,0
Miracle cure: salt can make you boost energy in just 7 days!,0
SHOCKING: Federal Reserve secretly planning to monitor citizens!,0
BREAKING: Scientists discover chocolate can cure depression!,0
CEO speaks at conference about climate change,1
ALERT: Hurricane Category 5 heading straight for London!,0
Miracle cure: sugar can make you improve memory in just 7 days!,0
Miracle cure: processed food can make you boost energy in just 10 days!,0
Researchers at Stanford University make progress in computer science research,1
Miracle cure: processed food can make you lose weight in just 7 days!,0
Tom Hanks caught doing illegal activities on camera,0
"Google reports quarterly earnings, stock up by 15%",1
Oprah Winfrey caught doing unethical behavior on camera,0
You won't believe what Brad Pitt said about social media!,0
New cloud feature released by Meta,1
Local council approves new park project for Sydney,1
ALERT: Tsunami wave heading straight for Sydney!,0
Government hiding truth about moon landing,0
You won't believe what Brad Pitt said about climate change!,0
Government hiding truth about vaccine ingredients,0
ALERT: Massive earthquake heading straight for Sydney!,0
New AI feature released by Meta,1
Government hiding truth about aliens,0
Tom Hanks DEAD at 74 - family confirms tragic news,0
Local council approves new bridge project for London,1
SHOCKING: European Union secretly planning to control the internet!,0
New mobile feature released by Microsoft,1
"Microsoft reports quarterly earnings, stock down by 5%",1
New study proves sugar causes depression - doctors shocked!,0
Oprah Winfrey DEAD at 48 - family confirms tragic news,0
"Google reports quarterly earnings, stock unchanged by 15%",1
New mobile feature released by Google,1
Government hiding truth about vaccine ingredients,0
You won't believe what Taylor Swift said about healthcare!,0
BREAKING: Scientists discover meditation can cure diabetes!,0
New study proves processed food causes cancer - doctors shocked!,0
New mobile feature released by Apple,1
"Amazon reports quarterly earnings, stock unchanged by 12%",1
BREAKING: Scientists discover coffee can cure arthritis!,0
United Kingdom to ban sunlight starting next month,0
European Union announces new policy on housing,1
SHOCKING: United Nations secretly planning to ban protests!,0
Government hiding truth about 5G towers,0
Weather forecast: Thunderstorms expected this weekend in the Midwest,1
"Apple reports quarterly earnings, stock up by 2%",1
Government hiding truth about moon landing,0
Local council approves new transit system project for Tokyo,1
Weather forecast: Fog expected this weekend in the South,1
Miracle cure: processed food can make you look younger in just 30 days!,0
ALERT: Hurricane Category 5 heading straight for Tokyo!,0
Patriots wins against Red Sox in close match,1
ALERT: Hurricane Category 5 heading straight for New York!,0
Jennifer Lawrence DEAD at 76 - family confirms tragic news,0
Government hiding truth about vaccine ingredients,0
European Union announces new policy on education,1
Miracle cure: sugar can make you look younger in just 21 days!,0
New study proves processed food causes diabetes - doctors shocked!,0
ALERT: Hurricane Category 5 heading straight for Sydney!,0
Study published in PNAS examines effects of education,1
You won't believe what Elon Musk said about artificial intelligence!,0
Oprah Winfrey caught doing controversial statements on camera,0
"Google reports quarterly earnings, stock down by 2%",1
Federal Reserve announces new policy on education,1
Russia to ban water starting next month,0
Local council approves new library project for New York,1
Community fundraiser raises $10000 for disaster relief,1
Patriots wins against Giants in close match,1
BREAKING: Scientists discover sleep can cure depression!,0
Researchers at Cambridge make progress in physics research,1
ALERT: Volcanic eruption heading straight for Tokyo!,0
You won't believe what Elon Musk said about healthcare!,0
New study proves salt causes arthritis - doctors shocked!,0
Researchers at Cambridge make progress in biology research,1
Lakers wins against Red Sox in close match,1
US Government announces new policy on healthcare,1
Local council approves new transit system project for London,1
France to ban meditation starting next month,0
BREAKING: Scientists discover sleep can cure cancer!,0
You won't believe what Brad Pitt said about climate change!,0
Miracle cure: red meat can make you boost energy in just 7 days!,0
SHOCKING: US Government secretly planning to control the internet!,0
New security feature released by Amazon,1
Senator speaks at conference about healthcare,1
New study proves processed food causes arthritis - doctors shocked!,0
BREAKING: Scientists discover coffee can cure arthritis!,0
Government hiding truth about 5G towers,0
Government hiding truth about moon landing,0
You won't believe what Elon Musk said about healthcare!,0
United States to ban water starting next month,0
Miracle cure: sugar can make you boost energy in just 21 days!,0
Researchers at MIT make progress in computer science research,1
Community fundraiser raises $25000 for children's charity,1
Senator speaks at conference about healthcare,1
New study proves dairy products causes arthritis - doctors shocked!,0
New AI feature released by Microsoft,1
"Meta reports quarterly earnings, stock down by 2%",1
United Nations announces new policy on environment,1
Study published in Cell examines effects of climate change,1
New privacy feature released by Microsoft,1
New study proves processed food causes arthritis - doctors shocked!,0
President speaks at conference about climate change,1
ALERT: Volcanic eruption heading straight for Tokyo!,0
New cloud feature released by Google,1
Study published in Science examines effects of healthcare,1
You won't believe what Tom Hanks said about social media!,0
Tom Hanks DEAD at 85 - family confirms tragic news,0
Tom Hanks DEAD at 70 - family confirms tragic news,0
Local council approves new transit system project for London,1
You won't believe what Jennifer Lawrence said about healthcare!,0
Weather forecast: Rain expected this weekend in the South,1
US Government announces new policy on healthcare,1
New study proves salt causes depression - doctors shocked!,0
BREAKING: Scientists discover sleep can cure diabetes!,0
BREAKING: Scientists discover water can cure heart disease!,0
Local council approves new park project for Tokyo,1
Elon Musk DEAD at 62 - family confirms tragic news,0
Researchers at Harvard make progress in computer science research,1
CEO speaks at conference about education,1
Local council approves new school project for London,1
Government hiding truth about aliens,0
Government hiding truth about vaccine ingredients,0
SHOCKING: United Nations secretly planning to ban protests!,0
Researchers at Harvard make progress in environmental research,1
Elon Musk caught doing unethical behavior on camera,0
Lakers wins against Rockets in close match,1
ALERT: Massive earthquake heading straight for Tokyo!,0
CEO speaks at conference about education,1
Taylor Swift caught doing controversial statements on camera,0
Taylor Swift caught doing unethical behavior on camera,0
ALERT: Volcanic eruption heading straight for Los Angeles!,0
Weather forecast: Clear skies expected this weekend in the Northeast,1
New study proves salt causes depression - doctors shocked!,0
Researchers at MIT make progress in computer science research,1
Weather forecast: Thunderstorms expected this weekend in the Pacific Northwest,1
Study published in PNAS examines effects of artificial intelligence,1
Miracle cure: processed food can make you look younger in just 30 days!,0
Local council approves new transit system project for New York,1
Researchers at Stanford University make progress in physics research,1
BREAKING: Scientists discover sunlight can cure anxiety!,0
Community fundraiser raises $50000 for animal shelter,1
Oprah Winfrey DEAD at 39 - family confirms tragic news,0
New mobile feature released by Tesla,1
Weather forecast: Thunderstorms expected this weekend in the South,1
SHOCKING: Federal Reserve secretly planning to monitor citizens!,0
New privacy feature released by Tesla,1
Oprah Winfrey caught doing controversial statements on camera,0
Miracle cure: sugar can make you improve memory in just 10 days!,0
SHOCKING: Federal Reserve secretly planning to control the internet!,0
Federal Reserve announces new policy on education,1
New study proves processed food causes arthritis - doctors shocked!,0
"Tesla reports quarterly earnings, stock up by 15%",1
Government hiding truth about aliens,0
Tom Hanks DEAD at 74 - family confirms tragic news,0
Jennifer Lawrence DEAD at 64 - family confirms tragic news,0
New study proves sugar causes cancer - doctors shocked!,0
Lakers wins against Rockets in close match,1
Community fundraiser raises $25000 for animal shelter,1
"Apple reports quarterly earnings, stock down by 15%",1
Study published in Nature examines effects of social media,1
Warriors wins against Rockets in close match,1
Mayor speaks at conference about artificial intelligence,1
You won't believe what Taylor Swift said about education!,0
Weather forecast: Fog expected this weekend in the Pacific Northwest,1
Oprah Winfrey DEAD at 69 - family confirms tragic news,0
New AI feature released by Meta,1
You won't believe what Taylor Swift said about artificial intelligence!,0
New study proves salt causes cancer - doctors shocked!,0
Local council approves new library project for Tokyo,1
US Government announces new policy on housing,1
New security feature released by Apple,1
Mayor speaks at conference about healthcare,1
Researchers at Cambridge make progress in environmental research,1
New AI feature released by Tesla,1
Community fundraiser raises $25000 for animal shelter,1
Yankees wins against Giants in close match,1
European Union announces new policy on healthcare,1
Russia to ban sunlight starting next month,0
New study proves salt causes anxiety - doctors shocked!,0
"Meta reports quarterly earnings, stock down by 8%",1
Weather forecast: Rain expected this weekend in the South,1
Cowboys wins against Red Sox in close match,1
Study published in Science examines effects of education,1
Patriots wins against Red Sox in close match,1
Elon Musk DEAD at 64 - family confirms tragic news,0
United Nations announces new policy on education,1
SHOCKING: US Government secretly planning to control the internet!,0
Miracle cure: dairy products can make you improve memory in just 30 days!,0
New study proves processed food causes diabetes - doctors shocked!,0
Lakers wins against Celtics in close match,1
SHOCKING: United Nations secretly planning to raise taxes!,0
United Kingdom to ban exercise starting next month,0
Russia to ban chocolate starting next month,0
Study published in Science examines effects of artificial intelligence,1
Government hiding truth about moon landing,0
Study published in The Lancet examines effects of artificial intelligence,1
Community fundraiser raises $100000 for local hospital,1
Jennifer Lawrence DEAD at 88 - family confirms tragic news,0
Community fundraiser raises $100000 for animal shelter,1
Weather forecast: Thunderstorms expected this weekend in the South,1
Miracle cure: red meat can make you improve memory in just 10 days!,0
United Nations announces new policy on healthcare,1
New mobile feature released by Google,1
You won't believe what Taylor Swift said about artificial intelligence!,0
Community fundraiser raises $250000 for local hospital,1
You won't believe what Taylor Swift said about education!,0
European Union announces new policy on housing,1
BREAKING: Scientists discover meditation can cure heart disease!,0
Study published in Nature examines effects of social media,1
ALERT: Tsunami wave heading straight for Sydney!,0
Miracle cure: processed food can make you look younger in just 10 days!,0
Taylor Swift DEAD at 90 - family confirms tragic news,0
Study published in The Lancet examines effects of education,1
You won't believe what Oprah Winfrey said about artificial intelligence!,0
New study proves processed food causes anxiety - doctors shocked!,0
BREAKING: Scientists discover coffee can cure diabetes!,0
China to ban sunlight starting next month,0
You won't believe what Taylor Swift said about artificial intelligence!,0
Brad Pitt DEAD at 88 - family confirms tragic news,0
Study published in Science examines effects of artificial intelligence,1
Local council approves new transit system project for Tokyo,1
You won't believe what Oprah Winfrey said about artificial intelligence!,0
SHOCKING: United Nations secretly planning to ban protests!,0
Brad Pitt caught doing controversial statements on camera,0
Miracle cure: red meat can make you boost energy in just 14 days!,0
Weather forecast: Rain expected this weekend in California,1
Study published in Nature examines effects of healthcare,1
New study proves salt causes heart disease - doctors shocked!,0
You won't believe what Tom Hanks said about climate change!,0
Researchers at Harvard make progress in medical research,1
"Google reports quarterly earnings, stock unchanged by 15%",1
SHOCKING: US Government secretly planning to control the internet!,0
"Meta reports quarterly earnings, stock unchanged by 5%",1
President speaks at conference about healthcare,1
President speaks at conference about climate change,1
New study proves sugar causes arthritis - doctors shocked!,0
Researchers at Cambridge make progress in environmental research,1
"Amazon reports quarterly earnings, stock unchanged by 15%",1
Tom Hanks DEAD at 38 - family confirms tragic news,0
Government hiding truth about aliens,0
Federal Reserve announces new policy on healthcare,1
SHOCKING: United Nations secretly planning to monitor citizens!,0
Oprah Winfrey DEAD at 58 - family confirms tragic news,0
New study proves processed food causes diabetes - doctors shocked!,0
Local council approves new school project for Tokyo,1
Brad Pitt DEAD at 59 - family confirms tragic news,0
SHOCKING: US Government secretly planning to monitor citizens!,0
ALERT: Massive earthquake heading straight for London!,0
United States to ban sunlight starting next month,0
New cloud feature released by Apple,1
Community fundraiser raises $50000 for children's charity,1
Miracle cure: processed food can make you lose weight in just 10 days!,0
Researchers at Stanford University make progress in computer science research,1
SHOCKING: United Nations secretly planning to ban protests!,0
"Amazon reports quarterly earnings, stock unchanged by 15%",1
Jennifer Lawrence caught doing unethical behavior on camera,0
New mobile feature released by Meta,1
CEO speaks at conference about healthcare,1
Elon Musk DEAD at 59 - family confirms tragic news,0
Cowboys wins against Giants in close match,1
China to ban exercise starting next month,0
BREAKING: Scientists discover chocolate can cure diabetes!,0
Jennifer Lawrence DEAD at 40 - family confirms tragic news,0
United States to ban chocolate starting next month,0
Researchers at MIT make progress in physics research,1
Elon Musk caught doing unethical behavior on camera,0
Federal Reserve announces new policy on transportation,1
President speaks at conference about healthcare,1
Brad Pitt DEAD at 32 - family confirms tragic news,0
New security feature released by Meta,1
ALERT: Tsunami wave heading straight for New York!,0
BREAKING: Scientists discover coffee can cure diabetes!,0
Government hiding truth about 5G towers,0
Community fundraiser raises $25000 for children's charity,1
United Nations announces new policy on healthcare,1
Patriots wins against Celtics in close match,1
ALERT: Tsunami wave heading straight for London!,0
Local council approves new bridge project for New York,1
"Meta reports quarterly earnings, stock up by 15%",1
Mayor speaks at conference about climate change,1
Mayor speaks at conference about artificial intelligence,1
SHOCKING: United Nations secretly planning to ban protests!,0
France to ban water starting next month,0
